TimeDate,gdd,standard_day_degree,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units
2023-06-28 22:00:00,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 22:00:00,21.3,12.95,22.95,17.6,27.6,17.6,28.804
2023-06-30 22:00:00,31.2,15.05,25.05,23.2,33.2,20.8,27.272
2023-07-01 22:00:00,45.2,16.7,26.7,26.2,36.2,17.8,26.313
2023-07-02 22:00:00,55.8,17.05,27.05,25.4,35.4,18.6,28.064
2023-07-03 22:00:00,68.0,16.35,26.35,24.1,34.1,19.9,28.512
2023-07-04 22:00:00,79.3,17.25,27.25,24.9,34.9,19.1,29.098
2023-07-05 22:00:00,86.1,13.1,23.1,19.5,29.5,19.5,27.567
2023-07-06 22:00:00,99.5,14.8,24.8,24.3,34.3,19.7,25.469
2023-07-07 22:00:00,110.4,16.95,26.95,27.5,37.5,16.5,24.825
2023-07-08 22:00:00,123.3,19.3,29.3,28.9,38.9,15.1,26.81
2023-07-09 22:00:00,140.5,21.1,31.1,30.9,40.9,13.1,26.556
2023-07-10 22:00:00,155.3,21.85,31.85,31.5,41.5,12.5,26.793
2023-07-11 22:00:00,172.0,19.65,29.65,28.5,38.5,15.5,28.098
2023-07-12 22:00:00,184.7,17.5,27.5,25.7,35.7,18.3,28.46
2023-07-13 22:00:00,199.2,18.55,28.55,27.0,37.0,17.0,28.467
2023-07-14 22:00:00,212.6,20.35,30.35,30.1,40.1,13.9,26.644
2023-07-15 22:00:00,229.5,19.45,29.45,31.1,41.1,12.9,23.219
2023-07-16 22:00:00,247.0,20.95,30.95,31.4,41.4,12.6,25.361
2023-07-17 22:00:00,265.0,20.35,30.35,31.3,41.3,12.7,24.468
2023-07-18 22:00:00,283.8,21.55,31.55,30.4,40.4,13.6,28.271
2023-07-19 22:00:00,297.8,19.3,29.3,28.7,38.7,15.3,27.141
2023-07-20 22:00:00,311.2,20.1,30.1,27.5,37.5,16.5,30.495
2023-07-21 22:00:00,319.6,16.05,26.05,24.3,34.3,19.7,27.719
2023-07-22 22:00:00,329.8,17.6,27.6,27.7,37.7,16.3,25.684
2023-07-23 22:00:00,344.7,15.65,25.65,25.3,35.3,18.7,25.681
2023-07-24 22:00:00,357.4,15.05,25.05,23.3,33.3,20.7,27.153
2023-07-25 22:00:00,364.3,15.5,25.5,24.2,34.2,19.8,26.856
2023-07-26 22:00:00,373.1,14.55,24.55,24.5,34.5,19.5,24.762
2023-07-27 22:00:00,385.8,14.8,24.8,24.6,34.6,19.4,25.082
2023-07-28 22:00:00,400.4,17.8,27.8,27.9,37.9,16.1,25.73
2023-07-29 22:00:00,415.9,18.2,28.2,28.3,38.3,15.7,25.812
2023-07-30 22:00:00,427.7,18.2,28.2,26.8,36.8,17.2,28.136
2023-07-31 22:00:00,441.5,15.45,25.45,23.0,33.0,21.0,28.227
2023-08-01 22:00:00,456.2,17.4,27.4,26.4,36.4,17.6,27.284
2023-08-02 22:00:00,471.8,18.25,28.25,25.2,35.2,18.8,30.496
2023-08-03 22:00:00,480.7,14.4,24.4,20.1,30.1,20.1,29.368
2023-08-04 22:00:00,488.4,14.15,24.15,22.1,32.1,21.9,26.903
2023-08-05 22:00:00,497.5,14.5,24.5,24.1,34.1,19.9,25.182
2023-08-06 22:00:00,504.0,11.7,21.7,23.3,33.3,20.7,21.123
2023-08-07 22:00:00,510.7,13.2,23.2,24.6,34.6,19.4,22.202
2023-08-08 22:00:00,518.8,15.25,25.25,26.5,36.5,17.5,23.268
2023-08-09 22:00:00,532.3,15.1,25.1,25.9,35.9,18.1,23.859
2023-08-10 22:00:00,545.0,17.15,27.15,27.0,37.0,17.0,25.947
2023-08-11 22:00:00,558.4,16.7,26.7,27.0,37.0,17.0,25.137
2023-08-12 22:00:00,573.7,18.2,28.2,28.1,38.1,15.9,26.133
2023-08-13 22:00:00,586.0,18.9,28.9,28.5,38.5,15.5,26.748
2023-08-14 22:00:00,601.1,19.5,29.5,29.6,39.6,14.4,25.985
2023-08-15 22:00:00,613.4,19.15,29.15,29.1,39.1,14.9,26.205
2023-08-16 22:00:00,626.4,18.4,28.4,27.8,37.8,16.2,26.968
2023-08-17 22:00:00,640.8,19.7,29.7,29.7,39.7,14.3,26.173
2023-08-18 22:00:00,653.5,20.35,30.35,30.9,40.9,13.1,25.206
2023-08-19 22:00:00,669.5,19.25,29.25,30.0,40.0,14.0,24.84
2023-08-20 22:00:00,682.7,21.85,31.85,31.9,41.9,12.1,26.034
2023-08-21 22:00:00,694.9,21.9,31.9,32.0,42.0,12.0,25.932
2023-08-22 22:00:00,709.9,22.7,32.7,33.7,43.7,10.3,23.982
2023-08-23 22:00:00,724.4,20.85,30.85,32.6,42.6,11.4,22.873
2023-08-24 22:00:00,742.0,20.85,30.85,32.1,42.1,11.9,23.849
2023-08-25 22:00:00,755.2,18.35,28.35,28.4,38.4,15.6,25.92
2023-08-26 22:00:00,767.8,14.5,24.5,19.5,29.5,19.5,30.087
2023-08-27 22:00:00,775.0,15.05,25.05,22.9,32.9,21.1,27.623
2023-08-28 22:00:00,781.1,9.5,19.5,14.6,24.6,14.6,24.356
2023-08-29 22:00:00,790.0,13.65,23.65,21.9,31.9,21.9,26.22
2023-08-30 22:00:00,798.9,12.8,22.8,22.4,32.4,21.6,24.142
2023-08-31 22:00:00,808.7,14.05,24.05,24.5,34.5,19.5,23.862
2023-09-01 22:00:00,818.3,16.6,26.6,27.0,37.0,17.0,24.957
2023-09-02 22:00:00,827.4,17.35,27.35,27.5,37.5,16.5,25.545
2023-09-03 22:00:00,837.8,16.45,26.45,26.1,36.1,17.9,26.006
2023-09-04 22:00:00,842.2,13.45,23.45,22.8,32.8,21.2,24.859
2023-09-05 22:00:00,847.6,14.15,24.15,26.0,36.0,18.0,22.008
2023-09-06 22:00:00,852.7,15.1,25.1,26.2,36.2,17.8,23.433
2023-09-07 22:00:00,859.0,15.6,25.6,27.0,37.0,17.0,23.157
2023-09-08 22:00:00,864.9,15.85,25.85,27.2,37.2,16.8,23.305
2023-09-09 22:00:00,874.6,16.85,26.85,28.7,38.7,15.3,22.731
2023-09-10 22:00:00,882.8,18.0,28.0,29.1,39.1,14.9,24.135
2023-09-11 22:00:00,895.5,18.35,28.35,29.4,39.4,14.6,24.258
2023-09-12 22:00:00,905.4,16.6,26.6,26.6,36.6,17.4,25.551
